10000; 0.0068604; 172564; 104844; 293448
20000; 0.010397; 362422; 231108; 615026
30000; 0.0156169; 544159; 365661; 932407
40000; 0.0217688; 809581; 503109; 1334965
50000; 0.0266508; 935396; 656538; 1608540
60000; 0.0326625; 1229374; 797688; 2040760
70000; 0.0394319; 1511355; 939465; 2461641
80000; 0.0437874; 1618426; 1106502; 2723846
90000; 0.0494642; 1876943; 1257612; 3127497
100000; 0.0556958; 2124197; 1414404; 3523865
110000; 0.0613095; 2317245; 1580985; 3870423
120000; 0.0654574; 2522763; 1747872; 4231527
130000; 0.0711585; 2666232; 1921731; 4534738
140000; 0.0789366; 2986691; 2076618; 4999669
150000; 0.081682; 3075994; 2260893; 5256420
160000; 0.0901219; 3432693; 2423619; 5766891
170000; 0.094992; 3584566; 2599017; 6080192
180000; 0.105596; 4208033; 2733573; 6838609
190000; 0.106994; 4121641; 2926440; 6923797
200000; 0.111901; 4200245; 3133725; 7183239
210000; 0.119997; 4541199; 3300249; 7680977
220000; 0.124963; 4760072; 3469611; 8054206
230000; 0.134254; 5169940; 3617004; 8608158
240000; 0.140049; 5327324; 3805941; 8931142
250000; 0.143359; 5554007; 4006200; 9336235
260000; 0.156802; 6266749; 4136460; 10178291
270000; 0.184286; 6122936; 4367298; 10226578
280000; 0.164137; 6397096; 4512747; 10642836
290000; 0.165267; 6211225; 4744938; 10650243
300000; 0.173009; 6576710; 4934199; 11192260
