10000; 0.0068134; 178070; 103911; 298440
20000; 0.0104165; 380298; 227454; 630358
30000; 0.0154633; 552756; 366105; 942026
40000; 0.0209935; 802556; 502164; 1327340
50000; 0.0265899; 958866; 651462; 1627954
60000; 0.0321281; 1181598; 797445; 1991640
70000; 0.0386153; 1386687; 956847; 2348303
80000; 0.0430475; 1598083; 1104669; 2702731
90000; 0.0492687; 1876939; 1261644; 3129311
100000; 0.0540392; 2071772; 1422249; 3476502
110000; 0.0607221; 2388654; 1572891; 3937330
120000; 0.0658438; 2583888; 1744557; 4290718
130000; 0.0701642; 2727260; 1915323; 4590018
140000; 0.0765165; 3018247; 2070645; 5028161
150000; 0.0838573; 3199253; 2252445; 5375607
160000; 0.0861858; 3323997; 2430699; 5660749
170000; 0.0927657; 3569419; 2601927; 6064711
180000; 0.098641; 3887669; 2762244; 6535133
190000; 0.110019; 3972372; 2964150; 6799860
200000; 0.110732; 4284987; 3120804; 7262739
210000; 0.116529; 4438483; 3300468; 7579199
220000; 0.122475; 4814930; 3458511; 8104424
230000; 0.126533; 5018375; 3640314; 8467255
240000; 0.130691; 4995651; 3855894; 8637235
250000; 0.138617; 5417601; 4015281; 9205331
260000; 0.142881; 5545039; 4195647; 9495397
270000; 0.148753; 5762632; 4380246; 9874264
280000; 0.159034; 6263263; 4548060; 10532329
290000; 0.16901; 6776615; 4709484; 11192561
300000; 0.173065; 6945822; 4865319; 11510862
